name,team_name,high_5s,player_team,super_10s,super_raids,super_tackles,total_defending_points,total_raid_points,red_cards,raid_bonus_points,success_tackles,defence_touch_points,defending_bonus_points,raid_touch_points,unsuccesful_tackles,success_raid_percent,empty_raid,tackle_success_rate,raids,match_player,tackles,points,raid_points_per_match,not_out_percentage,success_tackles_per_match,career_best_points,raid_map_locations,location,tackle_bonus_points,role,unsuccess_raids,success_raids,total_tackle_points,yellow_cards,green_cards,points_per_match_raid_tackle,points_defence_offence
Sahul Kumar,Jaipur Pink Panthers,4,0,0,0,5,101,1,0,0,96,96,0,1,130,10,9,42.0,10,42,226,102,0.02,100.0,2.4,0,,,0,,0,1,101,0,3,2.43,102
K Hanumanthu,Telugu Titans,0,0,1,0,0,4,24,0,1,4,4,0,23,5,37,13,44.0,57,8,9,28,3.0,59.65,0.5,0,,,0,,23,21,4,0,0,3.5,28
Abdul Insamam,Patna Pirates,0,0,0,0,0,0,10,0,7,0,0,0,3,4,28,5,0.0,18,7,4,10,1.43,55.56,0.0,0,,,0,,8,5,0,0,0,1.43,10
Mayur Kadam,Bengaluru Bulls,0,0,0,0,1,30,0,0,0,29,29,0,0,73,0,0,28.000000000000004,0,36,102,30,0.0,0.0,0.83,0,,,0,,0,0,30,0,1,0.83,30
Sudhakar Krishant,Bengaluru Bulls,0,0,0,0,1,7,0,0,0,6,6,0,0,9,0,0,40.0,0,9,15,7,0.0,0.0,0.78,0,,,0,,0,0,7,0,0,0.78,7
Govind Gurjar,Puneri Paltan,0,0,0,0,0,5,1,0,0,5,5,0,1,2,33,1,71.0,3,2,7,6,0.5,66.67,2.5,0,,,0,,1,1,5,0,0,3.0,6
Hamid Nader,Haryana Steelers,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,0,3,6,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Mohammadreza Chiyaneh,Patna Pirates,16,0,0,0,13,173,10,0,5,160,160,0,5,126,22,28,56.00000000000001,41,44,286,183,0.23,90.24,3.93,0,,,0,,4,9,173,0,5,4.16,183
Amirhossein Bastami,Haryana Steelers,1,0,0,0,1,23,1,0,1,22,22,0,0,47,0,0,32.0,1,16,69,24,0.06,0.0,1.44,0,,,0,,1,0,23,0,0,1.5,24
Soleiman Pahlevani,Gujarat Giants,0,0,0,0,1,3,0,0,0,2,2,0,0,10,0,0,17.0,0,7,12,3,0.0,0.0,0.43,0,,,0,,0,0,3,0,1,0.43,3
James Kamweti,U.P. Yoddhas,0,0,0,0,0,1,6,0,2,1,1,0,4,0,30,2,100.0,10,5,1,7,1.2,50.0,0.2,0,,,0,,5,3,1,0,0,1.4,7
Aslam Thambi,Bengal Warriors,0,0,0,1,0,0,9,0,4,0,0,0,5,0,22,4,0.0,18,5,0,9,1.8,44.44,0.0,0,,,0,,10,4,0,0,0,1.8,9
Nageshor Tharu,Bengaluru Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Pardeep Kumar,Gujarat Giants,0,0,1,3,0,4,76,0,10,4,4,0,66,21,35,56,16.0,153,22,25,80,3.45,71.9,0.18,0,,,0,,43,54,4,0,0,3.64,80
Bharat,Bengaluru Bulls,0,0,19,14,0,17,394,0,69,17,17,0,325,41,54,109,28.999999999999996,591,46,58,411,8.57,72.08,0.37,0,,,0,,165,317,17,0,0,8.93,411
Rohit Kumar,Bengaluru Bulls,0,0,0,0,0,1,0,0,0,1,1,0,0,3,0,0,25.0,0,2,4,1,0.0,0.0,0.5,0,,,0,,0,0,1,0,1,0.5,1
Ashu Malik,Dabang Delhi K.C.,1,0,5,6,6,25,192,0,47,19,19,0,145,38,33,173,33.0,415,45,57,217,4.27,75.18,0.56,0,,,0,,103,139,25,0,0,4.82,217
Dipak,Dabang Delhi K.C.,1,0,0,0,2,13,0,0,0,11,11,0,0,25,0,0,31.0,0,13,36,13,0.0,0.0,1.0,0,,,0,,0,0,13,0,0,1.0,13
Krishan,Dabang Delhi K.C.,2,0,0,0,5,61,0,0,0,56,56,0,0,112,0,0,33.0,0,42,168,61,0.0,0.0,1.45,0,,,0,,0,0,61,0,0,1.45,61
Vinay Kumar,Dabang Delhi K.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,1,1,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Sonu Singh,Gujarat Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,4,2,0,0,0.0,50.0,0.0,0,,,0,,2,0,0,0,0,0.0,0
Mohit Nandal,Haryana Steelers,3,0,0,0,7,86,1,0,1,79,79,0,0,95,0,0,45.0,2,43,174,87,0.02,0.0,2.0,0,,,0,,2,0,86,0,3,2.02,87
Deepak Singh,Jaipur Pink Panthers,0,0,0,0,1,18,0,0,0,17,17,0,0,60,0,1,22.0,1,17,77,18,0.0,100.0,1.06,0,,,0,,0,0,18,0,1,1.06,18
Manish,Patna Pirates,0,0,0,0,1,7,1,0,1,6,6,0,0,35,0,0,15.0,1,14,41,8,0.07,0.0,0.5,0,,,0,,1,0,7,0,0,0.57,8
Rohit,Patna Pirates,0,0,0,0,0,0,1,0,0,0,0,0,1,0,20,2,0.0,5,1,0,1,1.0,60.0,0.0,0,,,0,,2,1,0,0,0,1.0,1
Akash Shinde,Puneri Paltan,0,0,5,5,0,3,148,0,37,3,3,0,111,5,49,62,38.0,233,25,8,151,5.92,75.54,0.12,0,,,0,,57,114,3,0,0,6.04,151
